Price,Open,High,Low,Vol.,Change %
753.8,743.9,776.0,727.1,120530.0,1.33
761.0,753.8,765.1,740.4,60450.0,0.96
734.0,761.0,764.6,717.4,112290.0,-3.56
667.4,734.0,732.2,626.0,248080.0,-9.07
590.6,667.4,677.8,586.6,202320.0,-11.51
620.8,590.6,629.5,539.3,261740.0,5.13
656.9,620.8,687.4,616.4,196690.0,5.81
663.5,656.9,688.1,640.8,100460.0,1.01
625.4,663.5,665.2,609.9,88930.0,-5.74
644.7,625.4,650.3,615.2,99810.0,3.08
644.9,644.7,659.3,634.3,76660.0,0.04
636.5,644.9,645.9,621.8,80220.0,-1.29
670.0,636.5,673.0,631.2,88200.0,5.26
674.6,670.0,685.1,661.1,92230.0,0.68
698.1,674.6,700.5,671.5,67380.0,3.48
661.6,698.1,701.5,644.6,99270.0,-5.22
675.2,661.6,679.0,644.0,63910.0,2.04
663.7,675.2,679.2,657.3,54640.0,-1.70
672.7,663.7,678.4,662.2,47050.0,1.36
635.3,672.7,676.2,605.0,153610.0,-5.57
662.8,635.3,663.4,630.2,75890.0,4.33
651.8,662.8,663.5,620.7,96010.0,-1.65
647.1,651.8,652.0,636.8,29260.0,-0.72
646.7,647.1,657.5,640.0,45940.0,-0.06
670.6,646.7,673.2,644.6,66590.0,3.69
661.2,670.6,672.0,656.0,62960.0,-1.40
657.3,661.2,661.9,646.3,48200.0,-0.59
664.2,657.3,667.5,656.5,35830.0,1.06
660.7,664.2,665.4,655.7,20390.0,-0.53
676.3,660.7,680.9,660.1,46840.0,2.37
670.4,676.3,680.4,664.6,42580.0,-0.88
671.1,670.4,673.2,663.6,30400.0,0.11
664.4,671.1,672.3,659.5,37560.0,-1.00
664.6,664.4,666.5,657.8,32170.0,0.03
651.1,664.6,669.4,645.7,65900.0,-2.03
655.2,651.1,658.2,648.0,29890.0,0.62
659.3,655.2,664.2,651.0,29820.0,0.63
654.0,659.3,662.5,651.1,34380.0,-0.80
654.4,654.0,657.8,643.5,49390.0,0.06
654.5,654.4,659.1,646.0,29890.0,0.02
654.1,654.5,658.0,650.8,28110.0,-0.06
655.4,654.1,657.4,651.0,27040.0,0.20
654.7,655.4,657.5,652.1,19350.0,-0.11
621.9,654.7,654.9,621.4,62890.0,-5.02
607.0,621.9,627.9,603.5,66660.0,-2.39
513.4,607.0,613.8,471.4,130910.0,-15.42
566.4,513.4,573.1,514.1,85930.0,10.32
576.2,566.4,584.9,559.5,44820.0,1.73
574.7,576.2,580.0,565.8,27890.0,-0.27
586.5,574.7,596.7,565.3,25380.0,2.05
590.8,586.5,596.0,580.9,26200.0,0.75
589.2,590.8,594.2,585.4,24880.0,-0.27
585.3,589.2,591.2,581.1,25970.0,-0.68
590.9,585.3,600.5,580.9,49570.0,0.97
587.8,590.9,599.2,585.4,39830.0,-0.52
587.1,587.8,591.1,582.2,25500.0,-0.12
584.6,587.1,590.1,582.8,19300.0,-0.43
569.1,584.6,585.8,559.9,33070.0,-2.66
567.0,569.1,575.0,559.3,33770.0,-0.37
580.2,567.0,583.4,563.4,37690.0,2.34
572.3,580.2,581.1,568.7,32759.999999999996,-1.35
573.4,572.3,579.5,570.8,30390.0,0.18
574.6,573.4,577.9,566.3,25530.0,0.20
582.6,574.6,583.5,572.3,23120.0,1.40
580.7,582.6,585.3,577.8,14160.0,-0.33
587.5,580.7,591.9,577.1,33560.0,1.17
583.6,587.5,589.9,578.6,32080.0,-0.67
579.7,583.6,584.5,576.8,28060.0,-0.67
578.0,579.7,580.7,570.8,32729.999999999996,-0.29
579.4,578.0,582.7,575.8,21170.0,0.24
570.3,579.4,580.4,567.3,18690.0,-1.56
575.0,570.3,576.3,569.2,12830.0,0.81
574.2,575.0,578.6,571.4,23860.0,-0.13
577.3,574.2,579.9,572.5,27480.0,0.54
573.9,577.3,578.3,571.7,24930.0,-0.60
572.0,573.9,705.0,569.4,25870.0,-0.33
575.3,572.0,577.6,569.3,26610.0,0.58
598.8,575.3,605.0,572.6,35700.0,4.09
609.5,598.8,615.2,590.8,30690.0,1.79
605.8,609.5,610.6,598.8,25290.0,-0.62
610.4,605.8,612.0,603.5,24330.0,0.77
613.2,610.4,616.5,606.2,30030.0,0.45
625.6,613.2,629.3,611.3,36330.0,2.02
623.2,625.6,627.6,617.3,28330.0,-0.39
624.5,623.2,627.5,621.1,15280.0,0.22
605.6,624.5,630.8,592.8,36540.0,-3.03
608.0,605.6,610.6,603.0,27950.0,0.39
608.6,608.0,612.0,604.9,27520.0,0.10
609.5,608.6,612.2,606.4,24240.0,0.15
608.1,609.5,610.7,605.1,22690.0,-0.23
607.8,608.1,610.4,605.2,21850.0,-0.05
607.1,607.8,609.6,604.5,15890.0,-0.12
610.7,607.1,612.4,605.2,16329.999999999998,0.60
609.8,610.7,612.4,607.0,21240.0,-0.14
609.2,609.8,611.3,605.9,22610.0,-0.10
597.2,609.2,608.8,591.7,36860.0,-1.98
595.6,597.2,599.8,592.8,22440.0,-0.26
602.9,595.6,603.7,594.1,25920.0,1.22
602.6,602.9,605.9,600.5,13470.0,-0.05
601.5,602.6,604.9,598.3,13280.0,-0.18
606.5,601.5,608.5,598.2,27510.0,0.84
605.5,606.5,609.0,601.7,25550.0,-0.18
604.7,605.5,606.9,602.6,18940.0,-0.13
604.7,604.7,607.2,602.0,25320.0,0.00
608.1,604.7,608.8,602.3,23950.0,0.57
613.4,608.1,615.0,607.1,16930.0,0.87
610.7,613.4,614.2,607.7,16540.0,-0.44
611.6,610.7,613.2,608.5,21950.0,0.15
609.0,611.6,612.7,606.5,24990.0,-0.43
611.8,609.0,613.7,608.0,23400.0,0.47
611.0,611.8,612.7,608.5,21630.0,-0.14
616.0,611.0,619.4,609.1,32729.999999999996,0.83
617.7,616.0,619.6,614.9,13620.0,0.26
615.8,617.7,618.3,613.0,13430.0,-0.30
617.3,615.8,618.8,612.8,25230.0,0.25
640.5,617.3,642.3,615.6,55770.0,3.75
636.0,640.5,642.5,632.2,26950.0,-0.70
635.6,636.0,639.5,632.3,25620.0,-0.06
637.9,635.6,640.5,630.7,31420.0,0.37
